epoch,loss,sparse_categorical_accuracy
0,0.09162014134647399,0.97355884
1,0.042013588449786414,0.98578656
2,0.04095946390557175,0.9858864
3,0.04025469446340641,0.9859056
4,0.03918597679402117,0.985907
5,0.03803966814564951,0.98600286
6,0.03691598745797169,0.98609835
7,0.03619577097797703,0.9861781
8,0.036158685746019624,0.9861653
9,0.03589276068016223,0.9862473
10,0.035709428846373625,0.9862667
11,0.035509933179952866,0.98633116
12,0.03529864888114351,0.9865044
13,0.035022457955040054,0.9866487
14,0.034812798086412106,0.9867411
15,0.03470932401601443,0.9868333
16,0.0349498513048188,0.98672676
17,0.03485856954256765,0.986793
18,0.034796805089532847,0.9868169
19,0.034718971320667445,0.98684937
