epoch,loss,sparse_categorical_accuracy
0,0.10355955530828537,0.9664587
1,0.047272977698105886,0.98522
2,0.04670649454390475,0.9852897
3,0.04638816823005633,0.9853114
4,0.046152705811140775,0.98533887
5,0.045961173902316355,0.9853788
6,0.04585219696922497,0.9854255
7,0.04572339461797567,0.98544526
8,0.04561808384268759,0.98545945
9,0.04546460915496987,0.98552895
10,0.04527963006847338,0.9855831
11,0.045131833398588755,0.9856144
12,0.045030980597719816,0.985653
13,0.044911245761896354,0.9856338
14,0.044826096916104764,0.9856409
15,0.04473177749598905,0.985677
16,0.044632518361607074,0.98566854
17,0.04451407890380318,0.9856868
18,0.04442085969235095,0.98569775
19,0.04433044832577013,0.9857085
20,0.044278159207929706,0.9857127
21,0.04423999337786357,0.98570794
