epoch,loss,sparse_categorical_accuracy
0,0.33926985699899737,0.8739689
1,0.2459934679929011,0.9093267
2,0.24206778411048885,0.91062355
3,0.23983444452040015,0.9113861
4,0.2381319570717978,0.91206163
5,0.23679856395183638,0.91256684
6,0.23571437989410438,0.9124413
7,0.23456801100572505,0.91247934
8,0.23291428834450514,0.9121424
9,0.23116837626150463,0.91231996
10,0.22956150729119576,0.91302884
11,0.2291581353523878,0.9129976
12,0.228117659737792,0.9132856
13,0.22765969822060228,0.9132544
14,0.22717751411078196,0.9131658
15,0.22647423538056566,0.9133476
16,0.22648833935369933,0.9129898
17,0.22596793310933624,0.9133122
18,0.22589329442563333,0.9130783
19,0.22552545872793944,0.91319346
20,0.2254939790054442,0.91334814
